06248, 20160405, 0050,        10Min,          hm3,              , 22064,
06248, 20160405, 0050,        10Min,           nm,              , 22064,
06248, 20160405, 0050,        10Min,          nm1,              , 22064,
06248, 20160405, 0050,        10Min,          nm2,              , 22064,
06248, 20160405, 0050,        10Min,          nm3,              , 22064,
06248, 20160405, 0050,        10Min,           sq,             0,     0,
06249, 20160405, 0050,        10Min,          D1H,             0,     0,
06249, 20160405, 0050,        10Min,          Q1H,             0,     0,
06249, 20160405, 0050,        10Min,         R12H,             0,     0,
06249, 20160405, 0050,        10Min,          R1H,             0,     0,
06249, 20160405, 0050,        10Min,         R24H,        6.6145,     0,
06249, 20160405, 0050,        10Min,          R6H,             0,     0,
06249, 20160405, 0050,        10Min,        Sav1H,      1.598667,     0,
06249, 20160405, 0050,        10Min,        Sax1H,          2.28,     0,
06249, 20160405, 0050,        10Min,        Sax3H,           2.7,     0,
06249, 20160405, 0050,        10Min,        Sax6H,          2.99,     0,
06249, 20160405, 0050,        10Min,         Sx1H,          2.97,     0,
06249, 20160405, 0050,        10Min,         Sx3H,          3.52,     0,
06249, 20160405, 0050,        10Min,         Sx6H,          4.16,     0,
06249, 20160405, 0050,        10Min,        Tgn12,           5.8,     0,
06249, 20160405, 0050,        10Min,        Tgn14,           5.8,     0,
06249, 20160405, 0050,        10Min,         Tgn6,           5.8,     0,
06249, 20160405, 0050,        10Min,         Tn12,           8.7,     0,
06249, 20160405, 0050,        10Min,         Tn14,           8.7,     0,
06249, 20160405, 0050,        10Min,          Tn6,           8.7,     0,
06249, 20160405, 0050,        10Min,         Tx12,          14.3,     0,
06249, 20160405, 0050,        10Min,         Tx24,          14.5,     0,
06249, 20160405, 0050,        10Min,          Tx6,          10.9,     0,
06249, 20160405, 0050,        10Min,          W10,             0, 12832,
06249, 20160405, 0050,        10Min,       W10-10,             0, 12832,
06249, 20160405, 0050,        10Min,           dd,         148.7,     0,
06249, 20160405, 0050,        10Min,           dr,             0,     0,
06249, 20160405, 0050,        10Min,          dsd,           9.7,     0,
06249, 20160405, 0050,        10Min,           ff,          2.28,     0,
06249, 20160405, 0050,        10Min,          ffs,          2.28,     0,
06249, 20160405, 0050,        10Min,          fsd,           .22,     0,
06249, 20160405, 0050,        10Min,           fx,          2.97,     0,
