04040520, ta, 11.9, 
04040530, ta, 11.7, 
04040540, ta, 11, 
04040550, ta, 10.5, 
04040600, ta, 11, 
04040610, ta, 11.5, 
04040620, ta, 11.7, 
04040630, ta, 11.9, 
04040640, ta, 11.9, 
04040650, ta, 12, 
04040700, ta, 12.3, 
04040710, ta, 12.5, 
04040720, ta, 12.7, 
04040730, ta, 12.5, 
04040740, ta, 12.4, 
04040750, ta, 12.5, 
04040800, ta, 12.4, 
04040810, ta, 12.6, 
04040820, ta, 12.4, 
04040830, ta, 12.1, 
04040840, ta, 12, 
04040850, ta, 11.9, 
04040900, ta, 12, 
04040910, ta, 12, 
04040920, ta, 11.9, 
04040930, ta, 11.6, 
04040940, ta, 11.4, 
04040950, ta, 11.3, 
04041000, ta, 11.2, 
04041010, ta, 11.2, 
04041020, ta, 11.1, 
04041030, ta, 11.1, 
04041040, ta, 11.4, 
04041050, ta, 11.3, 
04041100, ta, 11.5, 
04041110, ta, 11.7, 
04041120, ta, 12.7, 
04041130, ta, 12.3, 
04041140, ta, 12.4, 
04041150, ta, 12.7, 
04041200, ta, 13.4, 
04041210, ta, 13.6, 
04041220, ta, 13.4, 
04041230, ta, 13.9, 
04041240, ta, 13.7, 
04041250, ta, 14.2, 
04041300, ta, 11.9, 
04041310, ta, 10.9, 
04041320, ta, 11.3, 
04041330, ta, 11.5, 
04041340, ta, 11.2, 
04041350, ta, 12, 
04041400, ta, 13.1, 
04041410, ta, 12.8, 
04041420, ta, 12.6, 
04041430, ta, 12.7, 
04041440, ta, 12.3, 
04041450, ta, 12.4, 
04041500, ta, 13.2, 
04041510, ta, 13, 
04041520, ta, 12.6, 
04041530, ta, 13.1, 
04041540, ta, 13.4, 
04041550, ta, 12.8, 
04041600, ta, 12.8, 
04041610, ta, 12.8, 
04041620, ta, 12.7, 
04041630, ta, 12, 
04041640, ta, 11, 
04041650, ta, 11.4, 
04041700, ta, 11.4, 
04041710, ta, 11.2, 
04041720, ta, 11.2, 
04041730, ta, 11.1, 
04041740, ta, 11.1, 
04041750, ta, 11.2, 
04041800, ta, 11.2, 
04041810, ta, 11.4, 
04041820, ta, 11.8, 
04041830, ta, 11.9, 
